sample_id,BART_post_rouge1,T5large_post_rouge1,BART_post_rouge2,T5large_post_rouge2,BART_post_rougel,T5large_post_rougel,BART_post_bleu,T5large_post_bleu,BART_post_meteor,T5large_post_meteor
88,0.40449438202247195,0.3414634146341463,0.16091954022988506,0.1,0.3370786516853933,0.24390243902439024,0.03089483867541766,0.0128203194835794,0.22839227489340358,0.13455083347556468
89,0.30769230769230765,0.24489795918367346,0.12698412698412698,0.0851063829787234,0.24615384615384617,0.16326530612244897,0.030002843173508643,0.042601467364417965,0.26574193240859906,0.1769248501613647
90,0.4473684210526316,0.13953488372093023,0.2702702702702703,0.0,0.42105263157894735,0.046511627906976744,0.10022838135213871,0,0.42651982564383334,0.02
91,0.40579710144927533,0.5660377358490567,0.1492537313432836,0.3529411764705882,0.2608695652173913,0.41509433962264153,0.02958403749882612,0.16832484320875543,0.3048703551826383,0.48720354067446
92,0.2469135802469136,0.32653061224489793,0.0759493670886076,0.1702127659574468,0.19753086419753085,0.2857142857142857,0.009439944120751184,0.023113368211463745,0.23019117222015772,0.23771306275319118
93,0.2535211267605634,0.37931034482758624,0.05797101449275363,0.14285714285714288,0.16901408450704222,0.2758620689655172,0.012534724690717635,0.01801210737536247,0.15505050505050505,0.24001901140684415
94,0.3582089552238806,0.2033898305084746,0.15384615384615383,0.0,0.29850746268656714,0.1694915254237288,0.06708839685423082,0.007434360163166208,0.33150363883064016,0.09689922480620154
95,0.3950617283950617,0.43243243243243246,0.20253164556962025,0.19444444444444448,0.34567901234567905,0.21621621621621623,0.019140997885527082,0.01835715308900808,0.3533635676492819,0.3177664594412403
96,0.5250000000000001,0.463768115942029,0.20512820512820515,0.11940298507462688,0.3,0.2898550724637681,0.12487443097651743,0.014612432574893431,0.46413058339731383,0.28497264709166015
97,0.3181818181818182,0.30588235294117644,0.1627906976744186,0.09638554216867469,0.29545454545454547,0.2117647058823529,0.0643346787307468,0.022479007417262973,0.20326369758187943,0.2622922437673131
98,0.379746835443038,0.24242424242424243,0.15584415584415584,0.0625,0.30379746835443033,0.18181818181818182,0.09559579550755593,0.013713605456973251,0.38163265306122446,0.2191840277777778
