sample_id,BART_pre_rouge1,PEGASUS_pre_rouge1,BART_pre_rouge2,PEGASUS_pre_rouge2,BART_pre_rougel,PEGASUS_pre_rougel,BART_pre_bleu,PEGASUS_pre_bleu,BART_pre_meteor,PEGASUS_pre_meteor
79,0.3835616438356165,0.3404255319148936,0.2535211267605634,0.3111111111111111,0.35616438356164387,0.3404255319148936,0.1261553619628621,0.24014973510773419,0.3774969969301953,0.2936889041330818
80,0.23214285714285715,0.27586206896551724,0.03636363636363636,0.07058823529411765,0.16071428571428573,0.18390804597701152,0.009054811853970416,0.013406836421863078,0.11340206185567009,0.09825327510917031
81,0.56,0.2978723404255319,0.3835616438356165,0.04444444444444444,0.5333333333333333,0.2553191489361702,0.24342782417153935,0.019143449805657794,0.6561695096466929,0.16721132897603488
82,0.28260869565217395,0.2716049382716049,0.044444444444444446,0.0759493670886076,0.15217391304347827,0.14814814814814817,0.006362245983665678,0.005091588099249835,0.13859275053304906,0.15160167509653563
83,0.5454545454545454,0.2903225806451613,0.37333333333333335,0.13333333333333333,0.5194805194805195,0.2580645161290323,0.22996880975371095,0.08984797156831857,0.6791264705649972,0.30817959032690617
84,0.37209302325581395,0.5194805194805195,0.07142857142857141,0.3733333333333333,0.2558139534883721,0.3116883116883117,0.01712185985800938,0.18972155370754135,0.21382279829545456,0.2869460223819518
85,0.30630630630630634,0.20588235294117646,0.09174311926605504,0.030303030303030304,0.18018018018018017,0.14705882352941177,0.011107376435668023,0.008833503323810438,0.24807170286016947,0.11231658939922573
86,0.4329896907216495,0.4594594594594595,0.2736842105263158,0.25,0.3711340206185567,0.4324324324324324,0.17853349403038984,0.09121059259368756,0.384270601336303,0.284009646933453
87,0.2162162162162162,0.28571428571428575,0.027777777777777776,0.037037037037037035,0.1081081081081081,0.17857142857142858,0.008840637545768753,0.015021239977027565,0.18144208037825058,0.22516048672990321
88,0.41758241758241765,0.2941176470588235,0.20224719101123598,0.0909090909090909,0.3516483516483516,0.2647058823529412,0.01642092444821043,0.009947573997310024,0.1903720671942246,0.09523809523809525
89,0.24657534246575347,0.3333333333333333,0.11267605633802817,0.15384615384615383,0.21917808219178084,0.25925925925925924,0.024827244931766433,0.05202556880807583,0.21520638330520175,0.28207852661404575
90,0.5217391304347826,0.20408163265306126,0.26865671641791045,0.0425531914893617,0.463768115942029,0.16326530612244897,0.10527834487585676,0.00719909165515008,0.28578166538032757,0.07352941176470588
91,0.3333333333333333,0.3703703703703703,0.14285714285714285,0.1923076923076923,0.2777777777777778,0.25925925925925924,0.027826728303280087,0.0491860237427222,0.22119341563786013,0.2608471074380165
92,0.2894736842105263,0.1886792452830189,0.08108108108108109,0.03921568627450981,0.21052631578947367,0.15094339622641512,0.010393938326032186,0.00916011417185022,0.2607709750566893,0.05639097744360901
93,0.2857142857142857,0.4,0.0975609756097561,0.15873015873015872,0.19047619047619047,0.24615384615384614,0.012177530069670229,0.022192938454540425,0.20205903712247428,0.3091417910447762
94,0.26086956521739135,0.2028985507246377,0.059701492537313425,0.0,0.1739130434782609,0.1739130434782609,0.006808256983563219,0.006534878510818802,0.14869888475836432,0.1320754716981132
95,0.29629629629629634,0.36065573770491804,0.1265822784810127,0.16949152542372883,0.24691358024691354,0.29508196721311475,0.014978640318926921,0.02049867979369527,0.18023167200121937,0.2090460526315789
96,0.49438202247191004,0.34782608695652173,0.20689655172413793,0.11940298507462688,0.20224719101123598,0.2318840579710145,0.11251661214743033,0.018847107268715236,0.4549950544015827,0.20110759493670885
97,0.3655913978494624,0.36923076923076925,0.1978021978021978,0.253968253968254,0.2795698924731183,0.36923076923076925,0.07285535004131792,0.08077031171157356,0.24190821256038647,0.21882352941176467
98,0.17391304347826086,0.5172413793103449,0.05970149253731344,0.2857142857142857,0.14492753623188406,0.4482758620689655,0.015702080675779332,0.08439611557966055,0.1465253913707522,0.40760869565217384
99,0.3055555555555555,0.6229508196721313,0.05714285714285715,0.3050847457627119,0.16666666666666666,0.4262295081967213,0.013819585494830136,0.22478471407024928,0.1495016611295681,0.37078992436135294
100,0.39080459770114945,0.10958904109589042,0.11764705882352942,0.056338028169014086,0.29885057471264365,0.10958904109589042,0.030514514284092718,0.02745120184313365,0.321125925925926,0.1423707830393067
101,0.4318181818181818,0.14084507042253522,0.2790697674418604,0.057971014492753624,0.36363636363636365,0.14084507042253522,0.16752894954298936,0.003952553915918299,0.3593322905310391,0.023866348448687347
102,0.21875,0.23333333333333334,0.0,0.0,0.15625,0.2,0.007293301163414325,0.00821807407726565,0.07936507936507937,0.08130081300813008
103,0.2553191489361702,0.29411764705882354,0.08695652173913043,0.030303030303030304,0.1702127659574468,0.1764705882352941,0.013158447399419156,0.004559134585354078,0.19612135807199021,0.07042253521126761
104,0.3235294117647059,0.32,0.12121212121212122,0.20833333333333334,0.2058823529411765,0.32,0.030171879963756306,0.169398499987232,0.3186538461538462,0.26445578231292516
105,0.3636363636363637,0.15,0.20930232558139533,0.02564102564102564,0.25,0.125,0.1748812694918866,0.00670929504614591,0.3511811023622048,0.08064516129032258
