sample_id,BART_post_rouge1,PEGASUS_post_rouge1,BART_post_rouge2,PEGASUS_post_rouge2,BART_post_rougel,PEGASUS_post_rougel,BART_post_bleu,PEGASUS_post_bleu,BART_post_meteor,PEGASUS_post_meteor
1789,0.5873015873015873,0.5370370370370371,0.3870967741935484,0.37735849056603776,0.31746031746031744,0.2962962962962963,0.25473719831755465,0.2154507404972655,0.47886405428135637,0.3781722067015742
1790,0.4297520661157025,0.4615384615384615,0.08403361344537816,0.1348314606741573,0.1983471074380165,0.26373626373626374,0.014184879018600485,0.03031075595974169,0.2653015246081113,0.22945014431589414
1791,0.4869565217391304,0.5,0.247787610619469,0.2162162162162162,0.2782608695652174,0.36842105263157887,0.1178621964943093,0.14467000438132246,0.46608885618477036,0.3405493683271461
1792,0.4285714285714286,0.4878048780487804,0.22916666666666663,0.225,0.32653061224489793,0.34146341463414637,0.11156634302121328,0.1284356725246006,0.3989276139410187,0.42575478945040623
1793,0.3917525773195877,0.3454545454545454,0.16842105263157894,0.14814814814814814,0.24742268041237114,0.1818181818181818,0.0272936302200797,0.022547891181633868,0.289119170984456,0.21093990359963077
1794,0.3620689655172413,0.44036697247706424,0.17543859649122806,0.18691588785046728,0.24137931034482757,0.2935779816513761,0.028293637696341443,0.20604436278316826,0.24173922962850294,0.28573528176702784
1795,0.1739130434782609,0.1518987341772152,0.0,0.0,0.10869565217391304,0.0759493670886076,0.005120485239565197,0.006256262221561363,0.10723860589812333,0.09695290858725764
1796,0.3294117647058824,0.1818181818181818,0.19277108433734938,0.0625,0.30588235294117644,0.1515151515151515,0.14920276910823296,0.015094876738728629,0.2429525516759998,0.16262755102040816
1797,0.4883720930232558,0.5757575757575757,0.26190476190476186,0.28125,0.3953488372093023,0.30303030303030304,0.10405607890252992,0.06656499035628416,0.4595385491158786,0.4258474353446009
1798,0.5937499999999999,0.6086956521739131,0.3968253968253969,0.44247787610619466,0.46875,0.5217391304347827,0.3234616230597851,0.29241380447787324,0.46318364922790894,0.44536614239810585
1799,0.4489795918367347,0.7105263157894737,0.3125,0.5405405405405405,0.28571428571428575,0.5789473684210528,0.16870170290732436,0.31848065594338926,0.2804246144215889,0.4114588057445201
1800,0.5178571428571429,0.5208333333333334,0.12727272727272726,0.2127659574468085,0.2142857142857143,0.22916666666666666,0.01820579254093672,0.021537467495609905,0.3199069694740218,0.31189016822287147
1801,0.6851851851851852,0.6019417475728156,0.6037735849056605,0.5544554455445544,0.6666666666666666,0.5825242718446602,0.4444823314818667,0.4058484064846071,0.6546150151542753,0.5373505462791177
1802,0.45528455284552843,0.5154639175257731,0.21487603305785122,0.25263157894736843,0.3089430894308943,0.35051546391752586,0.08913042148251867,0.12745430881920855,0.390473126064165,0.3975125944584383
1803,0.3157894736842105,0.2954545454545454,0.07142857142857142,0.11627906976744186,0.1929824561403509,0.25,0.014734890673119451,0.02162070970981443,0.23131404460518384,0.16762825510681428
1804,0.577319587628866,0.6578947368421053,0.4,0.43243243243243246,0.5567010309278351,0.5526315789473685,0.20600615014914675,0.21545828833785918,0.5091908320669485,0.4488031914893617
1805,0.5098039215686274,0.44155844155844154,0.3,0.16,0.4117647058823529,0.3116883116883117,0.1466701788453605,0.031172387971743983,0.43137813211845105,0.24439076757917338
1806,0.5617977528089887,0.5714285714285714,0.3218390804597701,0.3235294117647059,0.47191011235955055,0.48571428571428577,0.13792125616909445,0.15559694555207862,0.4833793668946767,0.3849005665614662
1807,0.5,0.5826771653543308,0.24691358024691357,0.33599999999999997,0.3048780487804878,0.36220472440944884,0.14628810688547672,0.1908015912526962,0.398912921998611,0.39663747383942166
1808,0.41666666666666663,0.4675324675324675,0.25531914893617025,0.24000000000000002,0.375,0.4155844155844156,0.18092176081223305,0.12174407814034292,0.35546393920278757,0.30641786824992934
1809,0.5454545454545454,0.5391304347826087,0.26890756302521013,0.2654867256637168,0.34710743801652894,0.3304347826086957,0.04204876879826443,0.046518617659268326,0.39553700267985986,0.38916128917331344
1810,0.4747474747474747,0.5668449197860962,0.19387755102040816,0.2486486486486486,0.29292929292929293,0.3636363636363636,0.0319315244883598,0.0545633749385591,0.26148290651726225,0.2751417464585603
1811,0.5486725663716814,0.5925925925925926,0.2702702702702703,0.27848101265822783,0.3893805309734514,0.4691358024691358,0.15607294883539205,0.08857461164509853,0.45215088629485517,0.33143582181681003
1812,0.5084745762711865,0.4571428571428571,0.3275862068965517,0.27184466019417475,0.3898305084745763,0.22857142857142854,0.18340477552459414,0.07599582438098605,0.3760175123005019,0.21158396946564886
1813,0.4329896907216495,0.39999999999999997,0.18947368421052632,0.13636363636363635,0.20618556701030927,0.3333333333333333,0.029909967069885617,0.06850641701978356,0.2387868813451777,0.29946251598465473
1814,0.5517241379310346,0.4705882352941177,0.32941176470588235,0.27272727272727276,0.2988505747126437,0.2647058823529411,0.1890224326648158,0.12339418569948733,0.4879730720265422,0.2571537998577447
1815,0.6929133858267716,0.4778761061946903,0.608,0.37837837837837834,0.6771653543307087,0.4424778761061947,0.5287922602981223,0.3113257882969124,0.6267185793507108,0.38297495654413194
1816,0.4406779661016949,0.2823529411764706,0.15517241379310345,0.07228915662650602,0.23728813559322032,0.16470588235294117,0.046060597460535466,0.013242871062737777,0.3319409168754722,0.14189369658119658
1817,0.3364485981308411,0.38636363636363635,0.09523809523809523,0.0930232558139535,0.16822429906542055,0.1818181818181818,0.01502299696440018,0.026827116684252347,0.22376680474726166,0.22035872350337765
1818,0.3636363636363636,0.3529411764705882,0.18666666666666668,0.1212121212121212,0.31168831168831174,0.2058823529411765,0.04729782264549039,0.021360710220235647,0.3938131313131313,0.2980239714933593
1819,0.6021505376344086,0.6363636363636364,0.41758241758241754,0.40625,0.49462365591397844,0.5151515151515151,0.18351327295915532,0.06408789128514616,0.6536702894727586,0.45497666299851997
1820,0.5555555555555556,0.41025641025641024,0.3636363636363636,0.2631578947368421,0.4222222222222222,0.25641025641025644,0.22995771381824875,0.1693794680230298,0.5161888304776739,0.3224096385542169
1821,0.3076923076923077,0.32989690721649484,0.18439716312056742,0.16842105263157894,0.1818181818181818,0.26804123711340205,0.05942693772565327,0.07245621700681253,0.25903076129919234,0.17663139329805996
1822,0.3653846153846154,0.3950617283950617,0.019607843137254898,0.10126582278481011,0.15384615384615383,0.22222222222222224,0.012049505059461792,0.02500727782157847,0.1754385964912281,0.20648526077097507
1823,0.3896103896103896,0.5675675675675677,0.24,0.5277777777777779,0.33766233766233766,0.5675675675675677,0.1595137043776433,0.33554265071755857,0.5208333333333334,0.7684436655548645
1824,0.7200000000000001,0.8314606741573034,0.5510204081632654,0.7586206896551724,0.54,0.7191011235955055,0.40739887459511187,0.6216682575276301,0.7373741300882547,0.7644074143418835
1825,0.4,0.5154639175257731,0.2222222222222222,0.2947368421052632,0.2,0.32989690721649484,0.10309599006201783,0.10521514475793249,0.266655311945167,0.31485424748411767
1826,0.5112781954887218,0.5599999999999999,0.27480916030534347,0.3577235772357723,0.40601503759398494,0.272,0.15483586242875638,0.23942799131554715,0.4182838207263243,0.40546492659053834
1827,0.3928571428571429,0.4424778761061947,0.12727272727272726,0.2162162162162162,0.17857142857142855,0.2831858407079646,0.030786229472603434,0.03344462415879991,0.256747398367897,0.2803722504230118
1828,0.5762711864406779,0.6601941747572816,0.3103448275862069,0.4554455445544554,0.30508474576271183,0.5825242718446603,0.08396258176464488,0.16794739456202837,0.3815385363286969,0.41064852604883884
1829,0.5652173913043479,0.6304347826086958,0.3333333333333333,0.24444444444444444,0.47826086956521735,0.4130434782608695,0.14987638789869634,0.055766047626271804,0.38804531212340326,0.34622424078091096
1830,0.4999999999999999,0.4727272727272727,0.1864406779661017,0.1851851851851852,0.2666666666666667,0.2545454545454546,0.10004262582585362,0.09100618232864137,0.2560900637823714,0.2927280896428717
1831,0.4482758620689655,0.43809523809523804,0.2280701754385965,0.23300970873786409,0.27586206896551724,0.28571428571428575,0.1763316443945786,0.1215782428305474,0.34731141873999016,0.29601868448210306
1832,0.5294117647058822,0.4,0.24,0.19277108433734938,0.2745098039215686,0.16470588235294117,0.04499282615104464,0.03182255124823367,0.38172020107352816,0.24463631606488748
1833,0.42276422764227645,0.46464646464646464,0.24793388429752067,0.30927835051546393,0.3252032520325204,0.42424242424242425,0.1956113522948382,0.10237802750249746,0.26786725563483976,0.24011763006918643
1834,0.41860465116279066,0.5142857142857143,0.19047619047619047,0.29411764705882354,0.25581395348837205,0.2857142857142857,0.0365921382309162,0.17626255501399044,0.4271123491179201,0.425934924234244
1835,0.5148514851485149,0.46153846153846156,0.3838383838383838,0.22471910112359553,0.39603960396039606,0.2417582417582418,0.2802733661584046,0.15207890408810282,0.5655732138005976,0.39892659279778386
1836,0.3888888888888889,0.48148148148148145,0.11267605633802817,0.22641509433962265,0.18055555555555555,0.25925925925925924,0.01967177361450581,0.1534857162343794,0.2545604066985646,0.3447629754543751
1837,0.5476190476190477,0.3809523809523809,0.2926829268292683,0.17073170731707318,0.30952380952380953,0.30952380952380953,0.10068921364546068,0.07243671671799473,0.3815384615384615,0.30798522307473714
1838,0.45669291338582674,0.4571428571428571,0.15999999999999998,0.27184466019417475,0.22047244094488191,0.3428571428571428,0.07199121031972121,0.17668778095928586,0.3005681650917012,0.335472111965842
1839,0.40522875816993464,0.3934426229508197,0.15894039735099336,0.15,0.26143790849673204,0.22950819672131148,0.034135804673137225,0.031128556680668943,0.28256127542691156,0.22386251211688168
1840,0.6881720430107527,0.6464646464646465,0.5494505494505495,0.4948453608247423,0.6236559139784946,0.6262626262626263,0.29162528686560957,0.2614007456349365,0.6864226910213531,0.6754105622883902
1841,0.4684684684684684,0.45360824742268047,0.22018348623853212,0.2526315789473684,0.2702702702702703,0.43298969072164945,0.028499015228670172,0.023643361346075788,0.28521019327965186,0.26116307220804186
1842,0.35051546391752575,0.3466666666666667,0.1473684210526316,0.10958904109589042,0.28865979381443296,0.26666666666666666,0.02879460455234716,0.03177604227107873,0.292724609375,0.25049603174603174
1843,0.4950495049504951,0.5,0.3232323232323232,0.3137254901960784,0.4752475247524753,0.4615384615384615,0.21864218183105483,0.20445762916151852,0.5710111788617886,0.5962566844919788
1844,0.359375,0.3469387755102041,0.12698412698412698,0.125,0.23437499999999997,0.16326530612244897,0.0299942187862765,0.04564320113517718,0.25476649642203714,0.18265139116202947
