sample_id,PEGASUS_post_rouge1,T5large_post_rouge1,PEGASUS_post_rouge2,T5large_post_rouge2,PEGASUS_post_rougel,T5large_post_rougel,PEGASUS_post_bleu,T5large_post_bleu,PEGASUS_post_meteor,T5large_post_meteor
123,0.3098591549295775,0.3389830508474576,0.11594202898550723,0.10526315789473685,0.22535211267605634,0.23728813559322035,0.01062966632179831,0.015021239977027565,0.12915129151291516,0.15503875968992248
124,0.42857142857142855,0.43636363636363634,0.3703703703703704,0.33962264150943394,0.3928571428571428,0.39999999999999997,0.2606501373387296,0.2255958911049824,0.3255736358503157,0.2938871473354232
125,0.723404255319149,0.2631578947368421,0.4444444444444444,0.05555555555555555,0.46808510638297873,0.2631578947368421,0.20333448190047887,0.010286424599188562,0.4804012345679012,0.09259259259259259
126,0.35135135135135137,0.09836065573770493,0.11111111111111112,0.0,0.24324324324324323,0.06557377049180328,0.014612432574893431,0.007393821123191824,0.2043978748524203,0.06153846153846155
127,0.2686567164179105,0.08,0.0,0.0273972602739726,0.1492537313432836,0.05333333333333334,0.004565738249796413,0.004341844138835925,0.06726457399103138,0.05616605616605617
128,0.16949152542372883,0.2413793103448276,0.03508771929824561,0.0,0.16949152542372883,0.1379310344827586,0.007678432706586176,0.008724383945340666,0.05639097744360902,0.09398496240601505
129,0.3272727272727273,0.3278688524590164,0.18867924528301888,0.2033898305084746,0.2545454545454545,0.19672131147540983,0.1307118752097732,0.11436433361427001,0.2521141410030298,0.27777777777777773
130,0.2686567164179105,0.3157894736842105,0.0,0.02702702702702703,0.1791044776119403,0.21052631578947367,0.006760248928851019,0.0075650002270003635,0.08838383838383838,0.1565270935960591
131,0.3703703703703704,0.48101265822784817,0.22784810126582278,0.36363636363636365,0.3209876543209877,0.4556962025316456,0.12180160375286396,0.17622820458959704,0.2820048729550992,0.3691498815165877
132,0.2622950819672131,0.24242424242424243,0.06779661016949153,0.0625,0.13114754098360654,0.1818181818181818,0.016369893867773447,0.00675652008541345,0.12182539682539682,0.0704225352112676
133,0.5714285714285714,0.3111111111111111,0.35000000000000003,0.18604651162790697,0.4285714285714286,0.2222222222222222,0.05406964703993758,0.00821807407726565,0.5010893246187365,0.23846153846153847
134,0.43636363636363634,0.4528301886792453,0.15094339622641512,0.1568627450980392,0.29090909090909095,0.3018867924528302,0.011371681934875243,0.012384901282810543,0.12396694214876033,0.125
135,0.46511627906976744,0.2857142857142857,0.14285714285714285,0.0,0.2790697674418604,0.13186813186813187,0.043276894311245165,0.007443229846793787,0.378310502283105,0.125
136,0.5128205128205128,0.4722222222222222,0.34210526315789475,0.3142857142857143,0.46153846153846156,0.4444444444444445,0.20831565110446984,0.10853401605921517,0.38765856236786467,0.31279338787553645
137,0.3466666666666667,0.2077922077922078,0.1095890410958904,0.0,0.23999999999999996,0.12987012987012989,0.03513922183453499,0.006909792747415067,0.21353092783505156,0.08951406649616368
138,0.5294117647058822,0.6557377049180327,0.24242424242424243,0.3728813559322034,0.3823529411764706,0.5901639344262295,0.04835076372066878,0.03817002932087935,0.28552084792454596,0.38448275862068976
139,0.2388059701492537,0.2,0.030769230769230767,0.025641025641025644,0.1791044776119403,0.15,0.005514105007507416,0.006669586107008974,0.06067961165048543,0.08254716981132075
